Entity_VI,Entity_EN
nếm dừa,taste coconut
du lịch biển,Sea travel
bún,rice noodle
bộ sưu,collection
tàu cunard,cunard ship
tôn giáo tâm linh,spiritual religion
bữa ăn khách sạn,hotel meals
bán đồ ăn nhanh,sell fast food
gian lưu trú,accommodation period
chuyến đi cá nhân,personal trip
mà chúng,which them
buổi cầu nguyện,prayer meeting
ghế đá,benches
đầu bếp ngôi sao,star chef
bến tàu,Pier
chuyến xuyên quốc gia,cross-country trip
ngũ xã,Five societies
ao hồ,Lake
đá nóng và kỹ,stone hot and thoroughly
trải nghiệm bắn súng,shooting experience
dịch vụ chăm sóc bàn chân cá nhân,Personal foot care service
cá thịt,"fish, meat"
dịch vụ tận nhà,home service
và lịch,and calendar
ăn trưa,having lunch
hàng tấn,tons
vật trang trí,decoration
phương tiện di,means of transportation
nhà điều hành,operator
nhiệt độ phòng,room temperature
trang trại cá,fish farm
rắn biển,sea ​​snake
hồ tây,West Lake
phòng thay,fitting room
đèo,pass
sóng biển,waves
chủ nghĩa tư,privateism
chương trình nghị sự,agenda
núi non,mountains
cộng đồng địa,local community
nông nghiệp,agriculture
trang trại bún,noodle farm
hấp bằng,steamed with
trận,battle
bữa ăn địa phương,local meal
chuyến du lịch biển,sea ​​trip
thờ sinh sản,fertility worship
cấu đô thị,urban structure
rừng dừa,coconut forest
ảnh khi,photo when
bằng dầu,with oil
địa điểm lân cận,nearby locations
massage đôi,couple massage
hàng may đo,Tailored goods
lông vũ,feathers
nền văn hóa việt,Vietnamese culture
bản giốc lạng sơn,Lang Son original
thể phục,sportswear
buổi mát-xa,massage session
chuyến đi kiểu máy bay,airplane-style trip
khu vui chơi giải trí,amusement parks
bản xèo bún chả,banh xeo vermicelli noodle soup
chuyến đi hướng dẫn,guided trip
giò nước chấm,dipping sauce
thực phẩm địa,local food
dịch vụ mát-xa ở,massage service in
hòn đảo trung tâm,central island
nguồn,source
đồ ăn hơi,steam food
siêu thân thiện,super friendly
áo sơ mi công sở,office shirt
mát xa chân,foot massage
- và,- and
lều mystic,mystic tent
vịnh hạ,lower bay
mát-xa đó thực sự rất,That massage was really great
xe sạch tài xế,clean car driver
đầu khổng,giant head
bức tường kính,glass wall
bản,copy
cơm chiên,fried rice
hướng dẫn viên du lịch siêu hạng,Super tour guide
của,belong to
ở hà,in Ha
rất,very
- massage,- massage
bến tàu vịnh,bay dock
thủ đoàn,crew
vui chơi trả phí,paid entertainment
trang trại cộng,plus farm
thuê xe,car rental
bánh quy,cookies
thành phố hồ chí,Ho Chi Minh City
ứng dụng,application
trình chuyến đi,trip submission
người làm mì,noodle maker
nhiều nhà,many houses
đường băng,runway
ngân phạm,trespass
nhà hàng mì,noodle restaurant
giờ ăn,meal time
phong cách cộng sản,communist style
phòng tranh,art gallery
hình chạm,carved image
thẻ số,number card
hãng phim phổ thông,universal film studio
vấn chuyến,flight inquiries
leo núi đá,rock climbing
dịch vụ xe khách sạn,hotel car service
và điều,and thing
truyền thống,traditional
âm nhạc ấn độ,Indian music
giường,bed
nhà hàng đông,crowded restaurant
tour ẩm thực thường lệ,Regular food tour
chân cũng,feet also
massage massage,massage massage
hương liệu,Spice
phòng trưng bày khoa trương,bombastic gallery
xe minivan,xe minivan
áo đầm,dress
vết viêm,inflammation
ni xa,ni far
kiểu massage,massage style
bảo tàng lịch sử quân sự,Military history museum
liệu pháp chăm sóc da mặt,Facial treatments
mát-xa bạn phải,massage you must
để ăn,to eat
dịch vụ mát-xa của,massage service of
world buffet,world buffet
trong,in
trình diễn ánh sáng,light show
chuyên gia trị liệu,therapist
xe đạp khu,bicycle zone
mini t bom,mini is good
lớp học yoga,yoga class
bun cha,Bun cha
chuyển thuyền,boat transfer
dài và,long and
dịch vụ chăm sóc sao,star care service
dịch vụ mát-xa bằng dầu,Oil massage service
vòi sen,shower
máy lạnh -,air-conditioner -
nhà hàng đà,da restaurant
dịch vụ mát-xa hoàn hảo,Perfect massage service
hình nghệ thuật,art form
địa điểm tôn giáo,religious location
vùng nông nghiệp,Agricultural area
tâm người,human mind
thợ may tuyên,tailor declares
cánh đồng lúa làng mạc,village rice fields
thủ thuật đánh bài,card tricks
đó,there
mỗi ngày,everyday
xế xe buýt du lịch,tourist bus driver
làng minh,Minh village
hoạt động nghệ thuật,artistic activities
dù bay,whether flying
dạy diều,teach kites
sự kiện văn hóa,cultural events
nhà thờ đức bà,Notre Dame Cathedral
sơn mài,lacquer
dịch vụ xe hơi,car service
mi,mi
điểm nghỉ ngơi,resting point
bộ đồ chất lượng,quality suit
sân chơi,playground
thực phẩm chất,quality food
bác sĩ trị liệu,therapist
nhịp sống,lifestyle
vương quốc dừa,coconut kingdom
món chả giò,spring rolls
bác,uncle
điệu nhảy dân gian tập thể dục,Folk dance exercise
tàu tuần dương,cruiser
lịch riêng kéo,separate schedule pulled
hoặc toàn,or all
email xe,email xe
thạch,jelly
văn hóa ẩm thực cuộc sống,culinary culture and life
xe buýt đêm,night bus
tiệm mát-xa và dành,massage parlor and spa
lồng,cage
kỳ quan,Marvel
phương pháp massage,massage method
người thờ phượng,worshiper
- 10- an,- 10- an
vườn rau,garden
bánh mỳ phở,Pho bread
hội trường trang trí,decorated hall
kỹ năng lướt sóng,surfing skills
mát-xa kiểu việt,Vietnamese massage
mát-xa từ,magnetic massage
con đường hồ chí,Ho Chi Minh road
ngọn tháp,top of the tower
ở tầng,On the floor
rau tươi trái cây,fresh vegetables and fruits
liệu pháp mát-xa bằng dầu,Oil massage therapy
tốt và,good and
chùa -,pagoda -
sự kiện lịch sử,historic events
chú cá vàng,goldfish
ngô,corn
làm vườn,garden
lăng chủ tịch hồ,President Ho&#39;s mausoleum
mạnh dầu,strong oil
ngừ nướng mè,Grilled tuna with sesame
người mù,blind people
dragon sea,dragon sea
tour xe máy,motorbike tour
cây cọ,Palm
linh mục ấn,Indian priest
bê,come
phòng tắm công cộng,public bathroom
vòng đu,swing ring
thai massage,Thai massage
mát-xa và do đó họ,massage and therefore them
vé tàu,train tickets
chuyến thăm hang sửng,Sung cave visit
có trà,have tea
đống que,pile of sticks
dịch vụ mát-xa thật tuyệt,The massage service was great
trò chơi giải trí,entertaining game
dịch vụ mát-xa pha,mixed massage service
địa điểm địa phương,local location
món cá ngừ,tuna dish
buổi bơi,swimming session
đạo phật,Buddhism
nhà thiết kế,designer
xếp xe,car arrangement
adventure đông dương,Indochina adventure
người nhập cư phúc,happy immigrants
bộ đồ nữ,women&#39;s clothing
chùa bửu long,Buu Long Pagoda
đường thẳng,straight line
đoạn,paragraph
liệu pháp mát-xa phù hợp,suitable massage therapy
tấn,ton
thật thần,truly divine
âm nhạc phòng,room music
điện,electricity
đồng bằng sông cửu long địa đạo củ chi chuyến tham quan,Cu Chi Mekong Delta Tunnels tour
chuyến đi thuyền thúng,basket boat trip
cao tôi,tall me
trà bổ sung,complementary tea
tô,Bowl
khu nghỉ dưỡng biển hội an,Hoi An beach resort
vật chất tuyệt vời,Great material
chợ bến,wharf market
rau rừng,jungle vegetable
phức hợp,complex
khá nhiều,pretty much
cổng sân,yard gate
thực phẩm tươi,fresh food
máy,machine
đi trong,go in
lớp thể dục nhịp điệu,aerobics class
dải cát,sand strip
rùa,turtle
nhân viên tư,private employee
bánh mì cà phê trứng,egg coffee bread
the bi,the bi
con đập,dams
chương trình khuyến mãi mùa thu,Fall promotions
rất sạch,very clean
thịt rau trái cây,meat vegetables and fruits
tảng lịch sử,historical background
nhân viên mát-xa của chúng,their masseuse
giải pháp,solution
tắm ngoài,shower outside
dịch vụ mát-xa sau,Massage service after
tàu hỏa cảnh,train scene
hàng bán diều,kite shop
đèn lồng,lantern
dịch vụ chuyển tiếp,forwarding service
rau thơm,herbs
giá cả hơi,price slightly
tượng hồ chí minh,Ho Chi Minh statue
cây cối,plant
quá lạnh,too cold
mát-xa khá tốt,Pretty good massage
khách sạn dịch vụ,service hotel
massage thực phẩm,food massage
khía cạnh lịch sử văn hóa,cultural historical aspect
trình mát-xa rất đa,Very versatile massage
bong bóng,balloon
ngành công nghiệp tiểu thủ,cottage industry
tâm họ,their mind
ở đây,here
vườn điêu,sculpture garden
chuyến đi pù,Puppy trip
sữa,milk
khoan dung,tolerant
phóng viên,reporter
spa quốc gia,national spa
trường dạy nấu ăn,Cooking school
tô du lịch,travel bowl
mát-xa để,massage to
chúng tôi,we
hồ tuyền lâm,Tuyen Lam Lake
loại mặn,salty type
bảo khánh hoàn,Bao Khanh Hoan
trình suy,inference process
chuyến đi thuyền ngắn,Short boat trip
khu nghỉ mát,resort
xe buýt cabin ngủ,sleeping cabin bus
đồ ăn -,food -
tắm nước,water bath
rừng nhiệt đới,tropical forest
lịch sử hà,history ha
trải nghiệm biển sôi,Experience the boiling sea
dịch vụ trơn,Smooth service
máy làm móng gel,gel nail machine
hành,onion
trang trại nuôi hàu,oyster farm
thị thực điện tử,e-visa
thống ánh sáng,lighting system
phông nền,background
hôm nay,Today
phòng cho,room for
đồ ăn quản gia,butler food
chất liệu da,leather
từ,from
họ bán,they sell
hành giả,pedestrian
nhân viên mát-xa rất,Very good masseuse
massage thật,real massage
phòng mát-xa tạo,Created massage room
quán phúc kiến - phúc kiến,Phuc Kien contemplation - Phuc Kien
núi langbian,langbian mountain
sân phơi,drying yard
thực phẩm nếm,Tasting food
tàn thuốc,cigarette butt
thành cổ,ancient wall
ẩm thực văn hóa địa phương,local cultural cuisine
bún chả,bun cha
trình điều,submit the thing
thuyền tam bản,sampan
dịp lễ,holidays
hình giải trí,entertainment image
nhân viên chuyên nghiệp giá cả,Professional staff and prices
vị linh mục,priest
giá trị sản xuất,production value
tản bộ,stroll
dịch vụ mát-xa chân,Foot massage service
công viên bọn trẻ,children&#39;s park
tác phẩm nghệ thuật tôn giáo,religious art
nữ thần,goddess
nhân viên quán bar,bar staff
bánh chuối,banana cake
trộn châu á,mixed asian
khu di tích hồ chí,Ho Chi Minh relic site
nhà hát,Theatre
nhưng,But
dịch vụ chuyển hàng,shipping service
sóc da mặt nơi tôi,take care of my facial skin
mát-xa hoàn hảo,Perfect massage
người mát-xa đã thể,The masseuse was able to
kích thước,size
màn,screen
thuyền chèo,Rowing boats
ngọn núi năm,year mountain
lực lượng đặc nhiệm,task force
- giá gần như,- almost price
dịch vụ massage,massage service
hoạt động tham,greedy activities
tâm -,heart -
cầu sông hans,Hans River Bridge
máy mát xa hơi,steam massager
mô tô,motorbike
số rượu,number of alcohol
lĩnh vực khách sạn,hotel sector
bãi biển sạch sóng,clean beach waves
hoạt động lướt ván,windsurfing activities
chơi ván,play plank
khoản mũ,hat clause
thợ máy,mechanic
buổi hòa nhạc,concert
biên đầy ấn,The border is full of seals
nghệ thuật địa phương,local art
bằng muối,with salt
bãi biển đông,east beach
thuyền dừa,coconut boat
núi biển,mountain sea
chua,chua
đề y tế,medical topic
thể dục nhịp điệu,aerobics
bộ đồ bơi,Swimsuit
món bún,noodle dish
công viên công,public park
đường biển,sea ​​route
phiêu lưu,adventure
cộng đồng,community
vùng đất hoang,wasteland
hồ lớn,large lake
phở,noodle soup
tế bào,cell
buổi thủy trị liệu,hydrotherapy session
cây kem,ice cream
họ dạy,they teach
chuyến khám,examination
quan rừng rậm,dense forest
đảo an,safe island
- chúng,- they
dịch vụ 24,service 24
